"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CVEFXIL7","journalArticle","2013","Moore, Raeanne C.; Viglione, Donald J.; Rosenfarb, Irwin S.; Patterson, Thomas L.; Mausbach, Brent T.","Rorschach measures of cognition relate to everyday and social functioning in schizophrenia","Psychological Assessment","","1040-3590","10.1037/a0030546","https://search.ebscohost.com/login.aspx?direct=true&AuthType=shib&db=psyh&AN=2012-30027-001&site=ehost-live&authtype=ip,shib&custid=s8899245","Neurocognitive impairment and negative symptoms contribute to functional disability in people with schizophrenia. Yet, a high level of unexplained variability remains after accounting for the role of these factors. This study examined the role of thought disorder, psychological complexity, and interpersonal representations, as measured by the Rorschach, in explaining functional and social skills capacity in 72 middle-aged and older outpatients with schizophrenia (mean age = 51.2 years). Participants responded to the Rorschach administered with the R-Optimized administration instructions and scored with the Rorschach Performance Assessment System. Relationships with neuropsychological performance and psychopathology were also explored. Psychological complexity, which refers to a person's cognitive capacity for problem solving and organizing his or her surroundings, was correlated with functional capacity (r = .30) and social skills capacity (r = .34). Healthy interpersonal representations were correlated with positive social skills (rs = .24–.28). In multiple regression models, psychological complexity accounted for significant variation in functional (β = .23, p = .02) and social skills capacity (β = .35, p < .01) after controlling for neurocognitive functioning and psychopathology. These data suggest that psychological complexity plays a significant role in the functional limitations seen in schizophrenia, above and beyond the contributions of neurocognitive impairment and negative symptoms. Support was also found for the impact of healthy object relations functioning with social functioning. Clinical implications include novel information for future development of cognitive remediation treatment strategies based on a patient's developmental level of psychological capacity and healthy interpersonal schemas. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","2013-03","2021-10-19 16:50:50","2023-02-14 17:05:00","","253-263","","1","25","","Psychological Assessment","","","","","","","","","","","APA PsycInfo","2012-30027-001","EBSCOhost","","Publisher: American Psychological Association","","","","*Ability Level; *Cognition; *Rorschach Test; *Schizophrenia; *Social Skills; Cognitive Complexity; Cognitive Impairment; Interpersonal Interaction; Neurocognition; Positive and Negative Symptoms; Social Functioning; Thought Disorders","Ability Level; Adult; Cognition; Female; functional capacity; Humans; interpersonal representations; Male; Middle Aged; negative symptoms; neurocognition; psychological complexity; Rorschach Performance Assessment System; Rorschach Test; schizophrenia; Schizophrenia; Schizophrenic Psychology; social skills; Social Skills; thought disorder; Thought Disturbances","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UYQHRL3V","journalArticle","2015","Su, Wen-So; Viglione, Donald J.; Green, Elizabeth E.; Tam, Wai-Cheong Carl; Su, Jian-An; Chang, Yi-Ting","Cultural and linguistic adaptability of the Rorschach Performance Assessment System as a measure of psychotic characteristics and severity of mental disturbance in Taiwan","Psychological Assessment","","1040-3590","10.1037/pas0000144","https://search.ebscohost.com/login.aspx?direct=true&AuthType=shib&db=psyh&AN=2015-22655-001&site=ehost-live&authtype=ip,shib&custid=s8899245","This study investigated the cultural and linguistic adaptability of the Rorschach Performance Assessment System (R-PAS), a new Rorschach administration, scoring, and interpretation system that minimizes psychometric weaknesses of the Comprehensive System (CS). This investigation addressed the validity of R-PAS measures of psychotic characteristics and psychopathology severity in Taiwan, including the incremental validity of the R-PAS relative to the CS variables measuring the same constructs. Ninety Taiwanese individuals (75 psychiatric patients and 15 nonpatients) were tested with standard R-PAS administration and scoring. Two non-Rorschach severity of disturbance measures and 2 psychosis measures served as independent criterion measures. The R-PAS measures were found to be valid in Taiwan in assessing psychotic symptoms and psychopathology severity, thus demonstrating cultural and linguistic adaptability. Moreover, hierarchical regression analyses demonstrated incremental validity for the R-PAS variables over their CS counterparts, providing support that the R-PAS revisions enhance the test psychometrically. These research findings also demonstrate the viability of the R-PAS as a Rorschach system that can be effectively employed outside the U.S. in a different language and culture. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2015-12","2020-06-14 23:38:04","2023-02-14 17:04:56","","1273-1285","","4","27","","Psychological Assessment","","","","","","","","","","","APA PsycInfo","2015-22655-001","EBSCOhost","","Publisher: American Psychological Association","","","","*Mental Disorders; *Psychosis; *Rorschach Test; *Test Validity; assessment; Foreign Language Translation; Linguistics; Mental Disorders; Psychometrics; psychosis; Psychosis; R-PAS; Rorschach; Rorschach Test; Scoring (Testing); Taiwan; Test Administration; Test Interpretation; Test Validity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PYLZ7UEV","journalArticle","1999","Viglione, Donald J.","A review of recent research addressing the utility of the Rorschach","Psychological Assessment","","","","","","1999","2020-06-14 23:38:06","2023-02-14 17:05:05","","251–265","","","11","","","","","","","","","","","","","","","","","","","","","*Applied Psychology; *Clinical Judgment (Not Diagnosis); *Psychological Assessment; Rorschach Test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BQ9EFEB","journalArticle","2001","Meyer, Gregory J.; Archer, Robert P.","The hard science of Rorschach research: What do we know and where do we go?","Psychological Assessment","","1939-134X, 1040-3590","10.1037/1040-3590.13.4.486","http://doi.apa.org/getdoi.cfm?doi=10.1037/1040-3590.13.4.486","","2001","2020-06-14 23:37:46","2023-02-14 17:05:02","2022-01-12 01:26:22","486-502","","4","13","","Psychological Assessment","The hard science of Rorschach research","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/ruampimentel/Library/CloudStorage/OneDrive-UniversityofToledo/Books and Papers/Meyer,Archer - 2001 - The hard science of Rorschach research.pdf; ","https://psycnet.apa.org/fulltext/2001-05665-007.html","*Psychological Assessment; *Rorschach Test; *Test Reliability; *Test Validity; Minnesota Multiphasic Personality Inventory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47I8ARP3","journalArticle","1997","Wood, James M.; Nezworski, M. Teresa; Stejskal, William J.","The reliability of the Comprehensive System for the Rorschach: A comment on Meyer (1997)","Psychological Assessment","","1040-3590","10.1037/1040-3590.9.4.490","https://search.ebscohost.com/login.aspx?direct=true&AuthType=shib&db=psyh&AN=1997-43856-018&site=ehost-live&authtype=ip,shib&custid=s8899245","Elsewhere the authors have called attention to fundamental problems with the Comprehensive System for the Rorschach (CS). G. Meyer (1997) attempts to refute the authors' criticisms of CS interrater reliability, but misrepresents what they actually stated, and several of his arguments are based on psychometric errors and misunderstandings. The meta-analysis in Meyer's article is flawed and fails to demonstrate CS interrater reliability. Instead of defending the CS with unsound arguments and shaky numbers, Rorschach proponents need to accept valid criticisms and undertake high-quality replicated studies of reliability and validity. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","1997-12","2021-10-19 16:52:01","2023-02-14 17:05:07","","490-494","","4","9","","Psychological Assessment","","","","","","","","","","","APA PsycInfo","1997-43856-018","EBSCOhost","","Publisher: American Psychological Association","","","","*Interrater Reliability; *Meta Analysis; *Rorschach Test; *Test Interpretation; Test Reliability","commentary; Interrater Reliability; Meta Analysis; meta analysis of interrater reliability & evaluation of reliability problems reported by J. M. Wood et al in Rorschach Comprehensive System; Rorschach Test; Test Interpretation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQTBH283","journalArticle","1996","Burns, Betsy; Viglione, Donald J.","The Rorschach Human Experience Variable, interpersonal relatedness, and object representation in nonpatients","Psychological Assessment","","1040-3590","10.1037/1040-3590.8.1.92","https://search.ebscohost.com/login.aspx?direct=true&AuthType=shib&db=psyh&AN=1996-00429-013&site=ehost-live&authtype=ip,shib&custid=s8899245","W. Perry and D. J. Viglione (1991) combined human representational variables from J. E. Exner's (1993) Comprehensive System in their Ego Impairment Index to create the Human Experience Variable (HEV). To validate the HEV, 105 nonpatient women completed the Bell Object Relations Inventory (M. Bell, 1991) and the Rorschach. Their spouses also rated the quality of these women's interpersonal relatedness by completing a modified Bell Object Relations Inventory and the Emotional Maturity Rating Form (H. Bessell, 1984). The HEV was significantly related to the quality of interpersonal relatedness, after considering Rorschach measures of psychopathology and 'nonhuman' Rorschach images. Results indicate that representations of self and other accessed through the Rorschach account for unique variance in the prediction of the quality of interpersonal relationships, thus supporting the validity of the Rorschach and the concept of object relations. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","1996-03","2021-10-19 17:02:25","2023-02-14 17:05:09","","92-99","","1","8","","Psychological Assessment","","","","","","","","","","","APA PsycInfo","1996-00429-013","EBSCOhost","","Publisher: American Psychological Association","","","","*Interpersonal Interaction; *Object Relations; *Psychosocial Development; adult female nonpatients; Humanism; Humanities; Humans; Interpersonal Interaction; Object Relations; prediction of interpersonal relatedness group membership & nonhuman object representation; Psychosocial Development; Rorschach Test; validity of Rorschach Human Experience Variable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UESL7KYJ","journalArticle","1997","Meyer, Gregory J.","Thinking clearly about reliability: More critical corrections regarding the Rorschach Comprehensive System","Psychological Assessment","","1040-3590","10.1037/1040-3590.9.4.495","https://search.ebscohost.com/login.aspx?direct=true&AuthType=shib&db=psyh&AN=1997-43856-019&site=ehost-live&authtype=ip,shib&custid=s8899245","In this brief comment on J. M. Wood, M. T. Nezworski, and W. J. Stejskal's (1997) response to his article (Meyer, 1997a), the author documents how J. M. Wood et al. continue to make allegations based on a limited subset of the available literature. He also points out specifically how their criticisms regarding kappa, test-retest reliability, true score theory, score aggregation, and his meta-analysis are incorrect. He concludes that these new errors provide additional reasons to be cautious about the conclusions proffered in their other articles on the Rorschach. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","1997-12","2021-10-19 16:52:31","2023-02-14 17:05:07","","495-498","","4","9","","Psychological Assessment","","","","","","","","","","","APA PsycInfo","1997-43856-019","EBSCOhost","","Publisher: American Psychological Association","","","","*Interrater Reliability; *Meta Analysis; *Rorschach Test; *Test Interpretation; Test Reliability","commentary reply; Interrater Reliability; Meta Analysis; meta analysis of interrater reliability & evaluation of reliability problems reported by J. M. Wood et al in Rorschach Comprehensive System; Rorschach Test; Test Interpretation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKQP9Y4G","journalArticle","1997","Burns, Betsy; Viglione, Donald J.","'The Rorschach Human Experience Variable, interpersonal relatedness, and object representations in nonpatients': Correction","Psychological Assessment","","1040-3590","10.1037/1040-3590.9.2.82","https://search.ebscohost.com/login.aspx?direct=true&AuthType=shib&db=psyh&AN=1997-06413-002&site=ehost-live&authtype=ip,shib&custid=s8899245","Reports an error in the original article by B. Burns and D. J. Viglione, Jr. (Psychological Assessment, 1996 [Mar], 8[1], 92–99). On pages 94–97, for the regression analysis in Tables 4–9, the Human Experience Variable was calculated slightly differently than described, the actual formula is given. (The following abstract of this article originally appeared in record [rid]1996-00429-013[/rid]). W. Perry and D. J. Viglione (1991) combined human representational variables from J. E. Exner's (1993) Comprehensive System in their Ego Impairment Index to create the Human Experience Variable (HEV). To validate the HEV, 105 nonpatient women completed the Bell Object Relations Inventory (M. Bell, 1991) and the Rorschach. Their spouses also rated the quality of these women's interpersonal relatedness by completing a modified Bell Object Relations Inventory and the Emotional Maturity Rating Form (H. Bessell, 1984). The HEV was significantly related to the quality of interpersonal relatedness, after considering Rorschach measures of psychopathology and 'nonhuman' Rorschach images.… (PsycINFO Database Record (c) 2016 APA, all rights reserved)","1997-06","2021-10-19 17:02:26","2023-02-14 17:05:09","","82-82","","2","9","","Psychological Assessment","","","","","","","","","","","APA PsycInfo","1997-06413-002","EBSCOhost","","Publisher: American Psychological Association","","","","*Interpersonal Interaction; *Object Relations; *Psychosocial Development; adult females; erratum; Humanism; Humanities; Humans; Interpersonal Interaction; Object Relations; prediction of interpersonal relatedness & group membership & nonhuman object representation; Psychosocial Development; Rorschach Test; validity of Rorschach Human Experience Variable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIRS6PB2","journalArticle","2010","Wood, James M.; Lilienfeld, Scott O.; Nezworski, M. Teresa; Garb, Howard N.; Allen, Keli Holloway; Wildermuth, Jessica L.","Validity of Rorschach Inkblot scores for discriminating psychopaths from nonpsychopaths in forensic populations: A meta-analysis","Psychological Assessment","","1040-3590","10.1037/a0018998","http://search.ebscohost.com/login.aspx?direct=true&AuthType=shib&db=psyh&AN=2010-10892-014&site=ehost-live&authtype=ip,shib&custid=s8899245","Gacono and Meloy (2009) have concluded that the Rorschach Inkblot Test is a sensitive instrument with which to discriminate psychopaths from nonpsychopaths. We examined the association of psychopathy with 37 Rorschach variables in a meta-analytic review of 173 validity coefficients derived from 22 studies comprising 780 forensic participants. All studies included the Hare Psychopathy Checklist or one of its versions (Hare, 1980, 1991, 2003) and Exner's (2003) Comprehensive System for the Rorschach. Mean validity coefficients of Rorschach variables in the meta-analysis ranged from −.113 to .239, with a median validity of .070 and a mean validity of .062. Psychopathy displayed a significant and medium-sized association with the number of Aggressive Potential responses (weighted mean validity coefficient = .232) and small but significant associations with the Sum of Texture responses, Cooperative Movement = 0, the number of Personal responses, and the Egocentricity Index (weighted mean validity coefficients = .097 to .159). The remaining 32 Rorschach variables were not significantly related to psychopathy. The present findings contradict the view that the Rorschach is a clinically sensitive instrument for discriminating psychopaths from nonpsychopaths. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","2010-06","2021-07-20 18:29:16","2023-02-14 17:05:01","","336-349","","2","22","","Psychological Assessment","","","","","","","","","","","psyh","2010-10892-014","EBSCOhost","","Publisher: American Psychological Association","","","","*Psychopathy; *Rorschach Test; *Test Validity; Adult; Antisocial Personality Disorder; comprehensive system; Confounding Factors (Epidemiology); Deception; Diagnosis, Differential; Female; Forensic Psychology; forensics; Humans; Male; Malingering; meta-analysis; Middle Aged; Prisoners; psychopathy; Psychopathy; Reproducibility of Results; Research Design; Rorschach Inkblot scores; Rorschach Test; Test Validity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S7U2LIGV","journalArticle","1992","Kleiger, James H.","A conceptual critique of the EA:es comparison in the Comprehensive Rorschach System","Psychological Assessment","","1040-3590","10.1037/1040-3590.4.3.288","https://search.ebscohost.com/login.aspx?direct=true&AuthType=shib&db=psyh&AN=1993-04017-001&site=ehost-live&authtype=ip,shib&custid=s8899245","Despite its empirical and normative strengths, the underlying conceptual base of the Comprehensive Rorschach System at times lacks clarity and an overarching theory of personality that can help psychodiagnosticians make more clinically relevant inferences. After reviewing the functions provided by an integral theory of personality, the author focuses on the Experience Actual:Experienced Stimulation (EA:es) index as a way of demonstrating how mechanistic jargon and lack of a guiding theory and conceptual clarity can lead to misleading and contradictory inferences. Case examples are provided, and some of the empirical foundations of the EA:es index are reviewed. The author concludes by offering recommendations on ways in which the Comprehensive System can become more sensitive in its appearance to capturing the complexities of personality functioning. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","1992-09","2021-10-19 16:46:40","2023-02-14 17:05:11","","288-296","","3","4","","Psychological Assessment","","","","","","","","","","","APA PsycInfo","1993-04017-001","EBSCOhost","","Publisher: American Psychological Association","","","","*Personality Theory; *Rorschach Test; *Test Interpretation; Psychoanalytic Theory","issues in interpretation of EA:es ratio in Comprehensive Rorschach System & need for overarching psychoanalytic personality theory; Personality Theory; Rorschach Test; Test Interpretation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
